,chipid,month
22,0060c0a5,11
23,0060c0a5,11
46,00e6b793,11
47,00e6b793,11
70,00fd0698,11
71,00fd0698,11
94,010966cb,11
95,010966cb,11
118,017f206b,11
119,017f206b,11
142,01b0ad1c,11
143,01b0ad1c,11
166,01f7f810,11
167,01f7f810,11
190,023f5e10,11
191,023f5e10,11
214,02613007,11
215,02613007,11
238,02763d7a,11
239,02763d7a,11
262,027a4ff4,11
263,027a4ff4,11
286,0287b450,11
287,0287b450,11
310,02a7f72f,11
311,02a7f72f,11
334,02c460be,11
335,02c460be,11
358,031fd0f5,11
359,031fd0f5,11
382,03419529,11
383,03419529,11
406,036d94c9,11
407,036d94c9,11
430,03bf29fa,11
431,03bf29fa,11
454,03e506af,11
455,03e506af,11
478,03f9e229,11
479,03f9e229,11
502,043d8d0c,11
503,043d8d0c,11
526,04a6a767,11
527,04a6a767,11
550,04b380c7,11
551,04b380c7,11
574,04d55e6a,11
575,04d55e6a,11
598,04dbc732,11
599,04dbc732,11
622,04debe47,11
623,04debe47,11
646,056224a2,11
647,056224a2,11
670,05e52522,11
671,05e52522,11
694,06212e56,11
695,06212e56,11
718,0636b264,11
719,0636b264,11
742,0651d43e,11
743,0651d43e,11
766,0658093b,11
767,0658093b,11
790,06e891e5,11
791,06e891e5,11
814,07a084ca,11
815,07a084ca,11
838,07e3ec27,11
839,07e3ec27,11
862,08084efe,11
863,08084efe,11
886,0823f904,11
887,0823f904,11
910,083f0dfb,11
911,083f0dfb,11
934,08c83160,11
935,08c83160,11
958,08ecfd3c,11
959,08ecfd3c,11
982,092ce360,11
983,092ce360,11
1006,0950a3da,11
1007,0950a3da,11
1030,0964800b,11
1031,0964800b,11
1054,0980ecf3,11
1055,0980ecf3,11
1078,09914ef8,11
1079,09914ef8,11
1102,0a04e5c1,11
1103,0a04e5c1,11
1126,0a073fe4,11
1127,0a073fe4,11
1150,0aa21699,11
1151,0aa21699,11
1174,0ad475a1,11
1175,0ad475a1,11
1198,0b255824,11
1199,0b255824,11
1222,0b8d5875,11
1223,0b8d5875,11
1246,0baa5577,11
1247,0baa5577,11
1270,0bf069c3,11
1271,0bf069c3,11
1294,0c19b4a5,11
1295,0c19b4a5,11
1318,0c4a3582,11
1319,0c4a3582,11
1342,0ca16dfd,11
1343,0ca16dfd,11
1366,0ca69c96,11
1367,0ca69c96,11
1390,0d0be2c8,11
1391,0d0be2c8,11
1414,0d226508,11
1415,0d226508,11
1438,0d29f58c,11
1439,0d29f58c,11
1462,0d2b5776,11
1463,0d2b5776,11
1486,0d710330,11
1487,0d710330,11
1510,0d820bc7,11
1511,0d820bc7,11
1534,0d90aa12,11
1535,0d90aa12,11
1558,0ddd95d2,11
1559,0ddd95d2,11
1582,0e081ce3,11
1583,0e081ce3,11
1606,0e6cd7a8,11
1607,0e6cd7a8,11
1630,0efa5c94,11
1631,0efa5c94,11
1654,0f5d3266,11
1655,0f5d3266,11
1678,0f705e95,11
1679,0f705e95,11
1702,0fcf82e4,11
1703,0fcf82e4,11
1726,0fd2954e,11
1727,0fd2954e,11
1750,10148836,11
1751,10148836,11
1774,10429d71,11
1775,10429d71,11
1798,10519639,11
1799,10519639,11
1822,109117ef,11
1823,109117ef,11
1846,109560c3,11
1847,109560c3,11
1870,10bca2b9,11
1871,10bca2b9,11
1894,115ff5d8,11
1895,115ff5d8,11
1918,11684502,11
1919,11684502,11
1942,116e9d64,11
1943,116e9d64,11
1966,11c945aa,11
1967,11c945aa,11
1990,121f6463,11
1991,121f6463,11
2014,122ef21e,11
2015,122ef21e,11
2038,123067b1,11
2039,123067b1,11
2062,1291713b,11
2063,1291713b,11
2086,13263137,11
2087,13263137,11
2110,13a24a0e,11
2111,13a24a0e,11
2134,1417b0a6,11
2135,1417b0a6,11
2158,146c7d5c,11
2159,146c7d5c,11
2182,147c9028,11
2183,147c9028,11
2206,14888ef2,11
2207,14888ef2,11
2230,149f144d,11
2231,149f144d,11
2254,14ba8aab,11
2255,14ba8aab,11
2278,14cf1ec4,11
2279,14cf1ec4,11
2302,14d3b92b,11
2303,14d3b92b,11
2326,14db0101,11
2327,14db0101,11
2350,150299cf,11
2351,150299cf,11
2374,151cf430,11
2375,151cf430,11
2398,1567ab76,11
2399,1567ab76,11
2422,15f686c8,11
2423,15f686c8,11
2446,162bdc23,11
2447,162bdc23,11
2470,168d2687,11
2471,168d2687,11
2494,1693843f,11
2495,1693843f,11
2518,1693bbe7,11
2519,1693bbe7,11
2542,16b80308,11
2543,16b80308,11
2566,17912870,11
2567,17912870,11
2590,180eef35,11
2591,180eef35,11
2614,1820f58c,11
2615,1820f58c,11
2638,18595b6b,11
2639,18595b6b,11
2662,188772ab,11
2663,188772ab,11
2686,190974c2,11
2687,190974c2,11
2710,19ae04fe,11
2711,19ae04fe,11
2734,19bdd036,11
2735,19bdd036,11
2758,19ccf803,11
2759,19ccf803,11
2782,19e5e877,11
2783,19e5e877,11
2806,19ea29be,11
2807,19ea29be,11
2830,1a00c008,11
2831,1a00c008,11
2854,1a8b952f,11
2855,1a8b952f,11
2878,1b9a4249,11
2879,1b9a4249,11
2902,1bed1748,11
2903,1bed1748,11
2926,1c9623a5,11
2927,1c9623a5,11
2950,1cd6323f,11
2951,1cd6323f,11
2974,1d0dea6d,11
2975,1d0dea6d,11
2998,1d14bdf1,11
2999,1d14bdf1,11
3022,1d4a14a9,11
3023,1d4a14a9,11
3046,1d67d611,11
3047,1d67d611,11
3070,1d98f768,11
3071,1d98f768,11
3094,1d9b9f68,11
3095,1d9b9f68,11
3118,1dc400fb,11
3119,1dc400fb,11
3142,1df6d645,11
3143,1df6d645,11
3166,1e9c4780,11
3167,1e9c4780,11
3190,1f01c926,11
3191,1f01c926,11
3214,1f133781,11
3215,1f133781,11
3238,1f5dedeb,11
3239,1f5dedeb,11
3262,1f9eb218,11
3263,1f9eb218,11
3286,202f0b2d,11
3287,202f0b2d,11
3310,20521c9e,11
3311,20521c9e,11
3334,20df6245,11
3335,20df6245,11
3358,210fba90,11
3359,210fba90,11
3382,214f24fa,11
3383,214f24fa,11
3406,218e148e,11
3407,218e148e,11
3430,21cfd61f,11
3431,21cfd61f,11
3454,2257154d,11
3455,2257154d,11
3478,225d3efe,11
3479,225d3efe,11
3502,225f0445,11
3503,225f0445,11
3526,22624011,11
3527,22624011,11
3550,231022fc,11
3551,231022fc,11
3574,23159416,11
3575,23159416,11
3598,2345e099,11
3599,2345e099,11
3622,23522c63,11
3623,23522c63,11
3646,239e325b,11
3647,239e325b,11
3670,23e1f93f,11
3671,23e1f93f,11
3694,24177c3f,11
3695,24177c3f,11
3718,24478cc7,11
3719,24478cc7,11
3742,24a4769c,11
3743,24a4769c,11
3766,24eb6b8c,11
3767,24eb6b8c,11
3790,24f6e665,11
3791,24f6e665,11
3814,25420997,11
3815,25420997,11
3838,254ec31f,11
3839,254ec31f,11
3862,2578965b,11
3863,2578965b,11
3886,2586d767,11
