,chipid,month
18,0060c0a5,9
19,0060c0a5,9
42,00e6b793,9
43,00e6b793,9
66,00fd0698,9
67,00fd0698,9
90,010966cb,9
91,010966cb,9
114,017f206b,9
115,017f206b,9
138,01b0ad1c,9
139,01b0ad1c,9
162,01f7f810,9
163,01f7f810,9
186,023f5e10,9
187,023f5e10,9
210,02613007,9
211,02613007,9
234,02763d7a,9
235,02763d7a,9
258,027a4ff4,9
259,027a4ff4,9
282,0287b450,9
283,0287b450,9
306,02a7f72f,9
307,02a7f72f,9
330,02c460be,9
331,02c460be,9
354,031fd0f5,9
355,031fd0f5,9
378,03419529,9
379,03419529,9
402,036d94c9,9
403,036d94c9,9
426,03bf29fa,9
427,03bf29fa,9
450,03e506af,9
451,03e506af,9
474,03f9e229,9
475,03f9e229,9
498,043d8d0c,9
499,043d8d0c,9
522,04a6a767,9
523,04a6a767,9
546,04b380c7,9
547,04b380c7,9
570,04d55e6a,9
571,04d55e6a,9
594,04dbc732,9
595,04dbc732,9
618,04debe47,9
619,04debe47,9
642,056224a2,9
643,056224a2,9
666,05e52522,9
667,05e52522,9
690,06212e56,9
691,06212e56,9
714,0636b264,9
715,0636b264,9
738,0651d43e,9
739,0651d43e,9
762,0658093b,9
763,0658093b,9
786,06e891e5,9
787,06e891e5,9
810,07a084ca,9
811,07a084ca,9
834,07e3ec27,9
835,07e3ec27,9
858,08084efe,9
859,08084efe,9
882,0823f904,9
883,0823f904,9
906,083f0dfb,9
907,083f0dfb,9
930,08c83160,9
931,08c83160,9
954,08ecfd3c,9
955,08ecfd3c,9
978,092ce360,9
979,092ce360,9
1002,0950a3da,9
1003,0950a3da,9
1026,0964800b,9
1027,0964800b,9
1050,0980ecf3,9
1051,0980ecf3,9
1074,09914ef8,9
1075,09914ef8,9
1098,0a04e5c1,9
1099,0a04e5c1,9
1122,0a073fe4,9
1123,0a073fe4,9
1146,0aa21699,9
1147,0aa21699,9
1170,0ad475a1,9
1171,0ad475a1,9
1194,0b255824,9
1195,0b255824,9
1218,0b8d5875,9
1219,0b8d5875,9
1242,0baa5577,9
1243,0baa5577,9
1266,0bf069c3,9
1267,0bf069c3,9
1290,0c19b4a5,9
1291,0c19b4a5,9
1314,0c4a3582,9
1315,0c4a3582,9
1338,0ca16dfd,9
1339,0ca16dfd,9
1362,0ca69c96,9
1363,0ca69c96,9
1386,0d0be2c8,9
1387,0d0be2c8,9
1410,0d226508,9
1411,0d226508,9
1434,0d29f58c,9
1435,0d29f58c,9
1458,0d2b5776,9
1459,0d2b5776,9
1482,0d710330,9
1483,0d710330,9
1506,0d820bc7,9
1507,0d820bc7,9
1530,0d90aa12,9
1531,0d90aa12,9
1554,0ddd95d2,9
1555,0ddd95d2,9
1578,0e081ce3,9
1579,0e081ce3,9
1602,0e6cd7a8,9
1603,0e6cd7a8,9
1626,0efa5c94,9
1627,0efa5c94,9
1650,0f5d3266,9
1651,0f5d3266,9
1674,0f705e95,9
1675,0f705e95,9
1698,0fcf82e4,9
1699,0fcf82e4,9
1722,0fd2954e,9
1723,0fd2954e,9
1746,10148836,9
1747,10148836,9
1770,10429d71,9
1771,10429d71,9
1794,10519639,9
1795,10519639,9
1818,109117ef,9
1819,109117ef,9
1842,109560c3,9
1843,109560c3,9
1866,10bca2b9,9
1867,10bca2b9,9
1890,115ff5d8,9
1891,115ff5d8,9
1914,11684502,9
1915,11684502,9
1938,116e9d64,9
1939,116e9d64,9
1962,11c945aa,9
1963,11c945aa,9
1986,121f6463,9
1987,121f6463,9
2010,122ef21e,9
2011,122ef21e,9
2034,123067b1,9
2035,123067b1,9
2058,1291713b,9
2059,1291713b,9
2082,13263137,9
2083,13263137,9
2106,13a24a0e,9
2107,13a24a0e,9
2130,1417b0a6,9
2131,1417b0a6,9
2154,146c7d5c,9
2155,146c7d5c,9
2178,147c9028,9
2179,147c9028,9
2202,14888ef2,9
2203,14888ef2,9
2226,149f144d,9
2227,149f144d,9
2250,14ba8aab,9
2251,14ba8aab,9
2274,14cf1ec4,9
2275,14cf1ec4,9
2298,14d3b92b,9
2299,14d3b92b,9
2322,14db0101,9
2323,14db0101,9
2346,150299cf,9
2347,150299cf,9
2370,151cf430,9
2371,151cf430,9
2394,1567ab76,9
2395,1567ab76,9
2418,15f686c8,9
2419,15f686c8,9
2442,162bdc23,9
2443,162bdc23,9
2466,168d2687,9
2467,168d2687,9
2490,1693843f,9
2491,1693843f,9
2514,1693bbe7,9
2515,1693bbe7,9
2538,16b80308,9
2539,16b80308,9
2562,17912870,9
2563,17912870,9
2586,180eef35,9
2587,180eef35,9
2610,1820f58c,9
2611,1820f58c,9
2634,18595b6b,9
2635,18595b6b,9
2658,188772ab,9
2659,188772ab,9
2682,190974c2,9
2683,190974c2,9
2706,19ae04fe,9
2707,19ae04fe,9
2730,19bdd036,9
2731,19bdd036,9
2754,19ccf803,9
2755,19ccf803,9
2778,19e5e877,9
2779,19e5e877,9
2802,19ea29be,9
2803,19ea29be,9
2826,1a00c008,9
2827,1a00c008,9
2850,1a8b952f,9
2851,1a8b952f,9
2874,1b9a4249,9
2875,1b9a4249,9
2898,1bed1748,9
2899,1bed1748,9
2922,1c9623a5,9
2923,1c9623a5,9
2946,1cd6323f,9
2947,1cd6323f,9
2970,1d0dea6d,9
2971,1d0dea6d,9
2994,1d14bdf1,9
2995,1d14bdf1,9
3018,1d4a14a9,9
3019,1d4a14a9,9
3042,1d67d611,9
3043,1d67d611,9
3066,1d98f768,9
3067,1d98f768,9
3090,1d9b9f68,9
3091,1d9b9f68,9
3114,1dc400fb,9
3115,1dc400fb,9
3138,1df6d645,9
3139,1df6d645,9
3162,1e9c4780,9
3163,1e9c4780,9
3186,1f01c926,9
3187,1f01c926,9
3210,1f133781,9
3211,1f133781,9
3234,1f5dedeb,9
3235,1f5dedeb,9
3258,1f9eb218,9
3259,1f9eb218,9
3282,202f0b2d,9
3283,202f0b2d,9
3306,20521c9e,9
3307,20521c9e,9
3330,20df6245,9
3331,20df6245,9
3354,210fba90,9
3355,210fba90,9
3378,214f24fa,9
3379,214f24fa,9
3402,218e148e,9
3403,218e148e,9
3426,21cfd61f,9
3427,21cfd61f,9
3450,2257154d,9
3451,2257154d,9
3474,225d3efe,9
3475,225d3efe,9
3498,225f0445,9
3499,225f0445,9
3522,22624011,9
3523,22624011,9
3546,231022fc,9
3547,231022fc,9
3570,23159416,9
3571,23159416,9
3594,2345e099,9
3595,2345e099,9
3618,23522c63,9
3619,23522c63,9
3642,239e325b,9
3643,239e325b,9
3666,23e1f93f,9
3667,23e1f93f,9
3690,24177c3f,9
3691,24177c3f,9
3714,24478cc7,9
3715,24478cc7,9
3738,24a4769c,9
3739,24a4769c,9
3762,24eb6b8c,9
3763,24eb6b8c,9
3786,24f6e665,9
3787,24f6e665,9
3810,25420997,9
3811,25420997,9
3834,254ec31f,9
3835,254ec31f,9
3858,2578965b,9
3859,2578965b,9
3882,2586d767,9
3883,2586d767,9
3906,2586fc66,9
3907,2586fc66,9
3930,25e8a6f7,9
3931,25e8a6f7,9
3954,25fd4e5d,9
3955,25fd4e5d,9
3978,2637f129,9
3979,2637f129,9
4002,26622ebc,9
4003,26622ebc,9
4026,26ddd09d,9
4027,26ddd09d,9
4050,26ea6cd0,9
4051,26ea6cd0,9
4074,26ede19f,9
4075,26ede19f,9
4098,27194589,9
4099,27194589,9
4122,271a5d14,9
4123,271a5d14,9
4146,27c33457,9
4147,27c33457,9
4170,2844f6c1,9
4171,2844f6c1,9
4194,284543b9,9
4195,284543b9,9
4218,28465227,9
4219,28465227,9
4242,2854a358,9
4243,2854a358,9
4266,285e7d45,9
4267,285e7d45,9
4290,288afc34,9
4291,288afc34,9
4314,28903853,9
4315,28903853,9
4338,28bb5e3d,9
4339,28bb5e3d,9
4362,28c31c55,9
4363,28c31c55,9
4386,28e70767,9
4387,28e70767,9
4410,2900760f,9
4411,2900760f,9
4434,2920bdda,9
4435,2920bdda,9
4458,2961708f,9
4459,2961708f,9
4482,299262ac,9
4483,299262ac,9
