,chipid,month
10,0060c0a5,5
11,0060c0a5,5
34,00e6b793,5
35,00e6b793,5
58,00fd0698,5
59,00fd0698,5
82,010966cb,5
83,010966cb,5
106,017f206b,5
107,017f206b,5
130,01b0ad1c,5
131,01b0ad1c,5
154,01f7f810,5
155,01f7f810,5
178,023f5e10,5
179,023f5e10,5
202,02613007,5
203,02613007,5
226,02763d7a,5
227,02763d7a,5
250,027a4ff4,5
251,027a4ff4,5
274,0287b450,5
275,0287b450,5
298,02a7f72f,5
299,02a7f72f,5
322,02c460be,5
323,02c460be,5
346,031fd0f5,5
347,031fd0f5,5
370,03419529,5
371,03419529,5
394,036d94c9,5
395,036d94c9,5
418,03bf29fa,5
419,03bf29fa,5
442,03e506af,5
443,03e506af,5
466,03f9e229,5
467,03f9e229,5
490,043d8d0c,5
491,043d8d0c,5
514,04a6a767,5
515,04a6a767,5
538,04b380c7,5
539,04b380c7,5
562,04d55e6a,5
563,04d55e6a,5
586,04dbc732,5
587,04dbc732,5
610,04debe47,5
611,04debe47,5
634,056224a2,5
635,056224a2,5
658,05e52522,5
659,05e52522,5
682,06212e56,5
683,06212e56,5
706,0636b264,5
707,0636b264,5
730,0651d43e,5
731,0651d43e,5
754,0658093b,5
755,0658093b,5
778,06e891e5,5
779,06e891e5,5
802,07a084ca,5
803,07a084ca,5
826,07e3ec27,5
827,07e3ec27,5
850,08084efe,5
851,08084efe,5
874,0823f904,5
875,0823f904,5
898,083f0dfb,5
899,083f0dfb,5
922,08c83160,5
923,08c83160,5
946,08ecfd3c,5
947,08ecfd3c,5
970,092ce360,5
971,092ce360,5
994,0950a3da,5
995,0950a3da,5
1018,0964800b,5
1019,0964800b,5
1042,0980ecf3,5
1043,0980ecf3,5
1066,09914ef8,5
1067,09914ef8,5
1090,0a04e5c1,5
1091,0a04e5c1,5
1114,0a073fe4,5
1115,0a073fe4,5
1138,0aa21699,5
1139,0aa21699,5
1162,0ad475a1,5
1163,0ad475a1,5
1186,0b255824,5
1187,0b255824,5
1210,0b8d5875,5
1211,0b8d5875,5
1234,0baa5577,5
1235,0baa5577,5
1258,0bf069c3,5
1259,0bf069c3,5
1282,0c19b4a5,5
1283,0c19b4a5,5
1306,0c4a3582,5
1307,0c4a3582,5
1330,0ca16dfd,5
1331,0ca16dfd,5
1354,0ca69c96,5
1355,0ca69c96,5
1378,0d0be2c8,5
1379,0d0be2c8,5
1402,0d226508,5
1403,0d226508,5
1426,0d29f58c,5
1427,0d29f58c,5
1450,0d2b5776,5
1451,0d2b5776,5
1474,0d710330,5
1475,0d710330,5
1498,0d820bc7,5
1499,0d820bc7,5
1522,0d90aa12,5
1523,0d90aa12,5
1546,0ddd95d2,5
1547,0ddd95d2,5
1570,0e081ce3,5
1571,0e081ce3,5
1594,0e6cd7a8,5
1595,0e6cd7a8,5
1618,0efa5c94,5
1619,0efa5c94,5
1642,0f5d3266,5
1643,0f5d3266,5
1666,0f705e95,5
1667,0f705e95,5
1690,0fcf82e4,5
1691,0fcf82e4,5
1714,0fd2954e,5
1715,0fd2954e,5
1738,10148836,5
1739,10148836,5
1762,10429d71,5
1763,10429d71,5
1786,10519639,5
1787,10519639,5
1810,109117ef,5
1811,109117ef,5
1834,109560c3,5
1835,109560c3,5
1858,10bca2b9,5
1859,10bca2b9,5
1882,115ff5d8,5
1883,115ff5d8,5
1906,11684502,5
1907,11684502,5
1930,116e9d64,5
1931,116e9d64,5
1954,11c945aa,5
1955,11c945aa,5
1978,121f6463,5
1979,121f6463,5
2002,122ef21e,5
2003,122ef21e,5
2026,123067b1,5
2027,123067b1,5
2050,1291713b,5
2051,1291713b,5
2074,13263137,5
2075,13263137,5
2098,13a24a0e,5
2099,13a24a0e,5
2122,1417b0a6,5
2123,1417b0a6,5
2146,146c7d5c,5
2147,146c7d5c,5
2170,147c9028,5
2171,147c9028,5
2194,14888ef2,5
2195,14888ef2,5
2218,149f144d,5
2219,149f144d,5
2242,14ba8aab,5
2243,14ba8aab,5
2266,14cf1ec4,5
2267,14cf1ec4,5
2290,14d3b92b,5
2291,14d3b92b,5
2314,14db0101,5
2315,14db0101,5
2338,150299cf,5
2339,150299cf,5
2362,151cf430,5
2363,151cf430,5
2386,1567ab76,5
2387,1567ab76,5
2410,15f686c8,5
2411,15f686c8,5
2434,162bdc23,5
2435,162bdc23,5
2458,168d2687,5
2459,168d2687,5
2482,1693843f,5
2483,1693843f,5
2506,1693bbe7,5
2507,1693bbe7,5
2530,16b80308,5
2531,16b80308,5
2554,17912870,5
2555,17912870,5
2578,180eef35,5
2579,180eef35,5
2602,1820f58c,5
2603,1820f58c,5
2626,18595b6b,5
2627,18595b6b,5
2650,188772ab,5
2651,188772ab,5
2674,190974c2,5
2675,190974c2,5
2698,19ae04fe,5
2699,19ae04fe,5
2722,19bdd036,5
2723,19bdd036,5
2746,19ccf803,5
2747,19ccf803,5
2770,19e5e877,5
2771,19e5e877,5
2794,19ea29be,5
2795,19ea29be,5
2818,1a00c008,5
2819,1a00c008,5
2842,1a8b952f,5
2843,1a8b952f,5
2866,1b9a4249,5
2867,1b9a4249,5
2890,1bed1748,5
2891,1bed1748,5
2914,1c9623a5,5
2915,1c9623a5,5
2938,1cd6323f,5
2939,1cd6323f,5
2962,1d0dea6d,5
2963,1d0dea6d,5
2986,1d14bdf1,5
2987,1d14bdf1,5
3010,1d4a14a9,5
3011,1d4a14a9,5
3034,1d67d611,5
3035,1d67d611,5
3058,1d98f768,5
3059,1d98f768,5
3082,1d9b9f68,5
3083,1d9b9f68,5
3106,1dc400fb,5
3107,1dc400fb,5
3130,1df6d645,5
3131,1df6d645,5
3154,1e9c4780,5
3155,1e9c4780,5
3178,1f01c926,5
3179,1f01c926,5
3202,1f133781,5
3203,1f133781,5
3226,1f5dedeb,5
3227,1f5dedeb,5
3250,1f9eb218,5
3251,1f9eb218,5
3274,202f0b2d,5
3275,202f0b2d,5
3298,20521c9e,5
3299,20521c9e,5
3322,20df6245,5
3323,20df6245,5
3346,210fba90,5
3347,210fba90,5
3370,214f24fa,5
3371,214f24fa,5
3394,218e148e,5
3395,218e148e,5
3418,21cfd61f,5
3419,21cfd61f,5
3442,2257154d,5
3443,2257154d,5
3466,225d3efe,5
3467,225d3efe,5
3490,225f0445,5
3491,225f0445,5
3514,22624011,5
3515,22624011,5
3538,231022fc,5
3539,231022fc,5
3562,23159416,5
3563,23159416,5
3586,2345e099,5
3587,2345e099,5
3610,23522c63,5
3611,23522c63,5
3634,239e325b,5
3635,239e325b,5
3658,23e1f93f,5
3659,23e1f93f,5
3682,24177c3f,5
3683,24177c3f,5
3706,24478cc7,5
3707,24478cc7,5
3730,24a4769c,5
3731,24a4769c,5
3754,24eb6b8c,5
3755,24eb6b8c,5
3778,24f6e665,5
3779,24f6e665,5
