,chipid,month
20,0060c0a5,10
21,0060c0a5,10
44,00e6b793,10
45,00e6b793,10
68,00fd0698,10
69,00fd0698,10
92,010966cb,10
93,010966cb,10
116,017f206b,10
117,017f206b,10
140,01b0ad1c,10
141,01b0ad1c,10
164,01f7f810,10
165,01f7f810,10
188,023f5e10,10
189,023f5e10,10
212,02613007,10
213,02613007,10
236,02763d7a,10
237,02763d7a,10
260,027a4ff4,10
261,027a4ff4,10
284,0287b450,10
285,0287b450,10
308,02a7f72f,10
309,02a7f72f,10
332,02c460be,10
333,02c460be,10
356,031fd0f5,10
357,031fd0f5,10
380,03419529,10
381,03419529,10
404,036d94c9,10
405,036d94c9,10
428,03bf29fa,10
429,03bf29fa,10
452,03e506af,10
453,03e506af,10
476,03f9e229,10
477,03f9e229,10
500,043d8d0c,10
501,043d8d0c,10
524,04a6a767,10
525,04a6a767,10
548,04b380c7,10
549,04b380c7,10
572,04d55e6a,10
573,04d55e6a,10
596,04dbc732,10
597,04dbc732,10
620,04debe47,10
621,04debe47,10
644,056224a2,10
645,056224a2,10
668,05e52522,10
669,05e52522,10
692,06212e56,10
693,06212e56,10
716,0636b264,10
717,0636b264,10
740,0651d43e,10
741,0651d43e,10
764,0658093b,10
765,0658093b,10
788,06e891e5,10
789,06e891e5,10
812,07a084ca,10
813,07a084ca,10
836,07e3ec27,10
837,07e3ec27,10
860,08084efe,10
861,08084efe,10
884,0823f904,10
885,0823f904,10
908,083f0dfb,10
909,083f0dfb,10
932,08c83160,10
933,08c83160,10
956,08ecfd3c,10
957,08ecfd3c,10
980,092ce360,10
981,092ce360,10
1004,0950a3da,10
1005,0950a3da,10
1028,0964800b,10
1029,0964800b,10
1052,0980ecf3,10
1053,0980ecf3,10
1076,09914ef8,10
1077,09914ef8,10
1100,0a04e5c1,10
1101,0a04e5c1,10
1124,0a073fe4,10
1125,0a073fe4,10
1148,0aa21699,10
1149,0aa21699,10
1172,0ad475a1,10
1173,0ad475a1,10
1196,0b255824,10
1197,0b255824,10
1220,0b8d5875,10
1221,0b8d5875,10
1244,0baa5577,10
1245,0baa5577,10
1268,0bf069c3,10
1269,0bf069c3,10
1292,0c19b4a5,10
1293,0c19b4a5,10
1316,0c4a3582,10
1317,0c4a3582,10
1340,0ca16dfd,10
1341,0ca16dfd,10
1364,0ca69c96,10
1365,0ca69c96,10
1388,0d0be2c8,10
1389,0d0be2c8,10
1412,0d226508,10
1413,0d226508,10
1436,0d29f58c,10
1437,0d29f58c,10
1460,0d2b5776,10
1461,0d2b5776,10
1484,0d710330,10
1485,0d710330,10
1508,0d820bc7,10
1509,0d820bc7,10
1532,0d90aa12,10
1533,0d90aa12,10
1556,0ddd95d2,10
1557,0ddd95d2,10
1580,0e081ce3,10
1581,0e081ce3,10
1604,0e6cd7a8,10
1605,0e6cd7a8,10
1628,0efa5c94,10
1629,0efa5c94,10
1652,0f5d3266,10
1653,0f5d3266,10
1676,0f705e95,10
1677,0f705e95,10
1700,0fcf82e4,10
1701,0fcf82e4,10
1724,0fd2954e,10
1725,0fd2954e,10
1748,10148836,10
1749,10148836,10
1772,10429d71,10
1773,10429d71,10
1796,10519639,10
1797,10519639,10
1820,109117ef,10
1821,109117ef,10
1844,109560c3,10
1845,109560c3,10
1868,10bca2b9,10
1869,10bca2b9,10
1892,115ff5d8,10
1893,115ff5d8,10
1916,11684502,10
1917,11684502,10
1940,116e9d64,10
1941,116e9d64,10
1964,11c945aa,10
1965,11c945aa,10
1988,121f6463,10
1989,121f6463,10
2012,122ef21e,10
2013,122ef21e,10
2036,123067b1,10
2037,123067b1,10
2060,1291713b,10
2061,1291713b,10
2084,13263137,10
2085,13263137,10
2108,13a24a0e,10
2109,13a24a0e,10
2132,1417b0a6,10
2133,1417b0a6,10
2156,146c7d5c,10
2157,146c7d5c,10
2180,147c9028,10
2181,147c9028,10
2204,14888ef2,10
2205,14888ef2,10
2228,149f144d,10
2229,149f144d,10
2252,14ba8aab,10
2253,14ba8aab,10
2276,14cf1ec4,10
2277,14cf1ec4,10
2300,14d3b92b,10
2301,14d3b92b,10
2324,14db0101,10
2325,14db0101,10
2348,150299cf,10
2349,150299cf,10
2372,151cf430,10
2373,151cf430,10
2396,1567ab76,10
2397,1567ab76,10
2420,15f686c8,10
2421,15f686c8,10
2444,162bdc23,10
2445,162bdc23,10
2468,168d2687,10
2469,168d2687,10
2492,1693843f,10
2493,1693843f,10
2516,1693bbe7,10
2517,1693bbe7,10
2540,16b80308,10
2541,16b80308,10
2564,17912870,10
2565,17912870,10
2588,180eef35,10
2589,180eef35,10
2612,1820f58c,10
2613,1820f58c,10
2636,18595b6b,10
2637,18595b6b,10
2660,188772ab,10
2661,188772ab,10
2684,190974c2,10
2685,190974c2,10
2708,19ae04fe,10
2709,19ae04fe,10
2732,19bdd036,10
2733,19bdd036,10
2756,19ccf803,10
2757,19ccf803,10
2780,19e5e877,10
2781,19e5e877,10
2804,19ea29be,10
2805,19ea29be,10
2828,1a00c008,10
2829,1a00c008,10
2852,1a8b952f,10
2853,1a8b952f,10
2876,1b9a4249,10
2877,1b9a4249,10
2900,1bed1748,10
2901,1bed1748,10
2924,1c9623a5,10
2925,1c9623a5,10
2948,1cd6323f,10
2949,1cd6323f,10
2972,1d0dea6d,10
2973,1d0dea6d,10
2996,1d14bdf1,10
2997,1d14bdf1,10
3020,1d4a14a9,10
3021,1d4a14a9,10
3044,1d67d611,10
3045,1d67d611,10
3068,1d98f768,10
3069,1d98f768,10
3092,1d9b9f68,10
3093,1d9b9f68,10
3116,1dc400fb,10
3117,1dc400fb,10
3140,1df6d645,10
3141,1df6d645,10
3164,1e9c4780,10
3165,1e9c4780,10
3188,1f01c926,10
3189,1f01c926,10
3212,1f133781,10
3213,1f133781,10
3236,1f5dedeb,10
3237,1f5dedeb,10
3260,1f9eb218,10
3261,1f9eb218,10
3284,202f0b2d,10
3285,202f0b2d,10
3308,20521c9e,10
3309,20521c9e,10
3332,20df6245,10
3333,20df6245,10
3356,210fba90,10
3357,210fba90,10
3380,214f24fa,10
3381,214f24fa,10
3404,218e148e,10
3405,218e148e,10
3428,21cfd61f,10
3429,21cfd61f,10
3452,2257154d,10
3453,2257154d,10
3476,225d3efe,10
3477,225d3efe,10
3500,225f0445,10
3501,225f0445,10
3524,22624011,10
3525,22624011,10
3548,231022fc,10
3549,231022fc,10
3572,23159416,10
3573,23159416,10
3596,2345e099,10
3597,2345e099,10
3620,23522c63,10
3621,23522c63,10
3644,239e325b,10
3645,239e325b,10
3668,23e1f93f,10
3669,23e1f93f,10
3692,24177c3f,10
3693,24177c3f,10
3716,24478cc7,10
3717,24478cc7,10
3740,24a4769c,10
3741,24a4769c,10
3764,24eb6b8c,10
3765,24eb6b8c,10
3788,24f6e665,10
3789,24f6e665,10
3812,25420997,10
3813,25420997,10
3836,254ec31f,10
3837,254ec31f,10
3860,2578965b,10
3861,2578965b,10
3884,2586d767,10
3885,2586d767,10
3908,2586fc66,10
3909,2586fc66,10
3932,25e8a6f7,10
3933,25e8a6f7,10
3956,25fd4e5d,10
3957,25fd4e5d,10
3980,2637f129,10
3981,2637f129,10
4004,26622ebc,10
4005,26622ebc,10
4028,26ddd09d,10
4029,26ddd09d,10
4052,26ea6cd0,10
4053,26ea6cd0,10
4076,26ede19f,10
4077,26ede19f,10
4100,27194589,10
4101,27194589,10
4124,271a5d14,10
4125,271a5d14,10
4148,27c33457,10
4149,27c33457,10
4172,2844f6c1,10
4173,2844f6c1,10
4196,284543b9,10
4197,284543b9,10
4220,28465227,10
4221,28465227,10
4244,2854a358,10
4245,2854a358,10
4268,285e7d45,10
4269,285e7d45,10
4292,288afc34,10
4293,288afc34,10
4316,28903853,10
4317,28903853,10
4340,28bb5e3d,10
4341,28bb5e3d,10
4364,28c31c55,10
4365,28c31c55,10
