,chipid,month
0,0060c0a5,0
1,0060c0a5,0
24,00e6b793,0
25,00e6b793,0
48,00fd0698,0
49,00fd0698,0
72,010966cb,0
73,010966cb,0
96,017f206b,0
97,017f206b,0
120,01b0ad1c,0
121,01b0ad1c,0
144,01f7f810,0
145,01f7f810,0
168,023f5e10,0
169,023f5e10,0
192,02613007,0
193,02613007,0
216,02763d7a,0
217,02763d7a,0
240,027a4ff4,0
241,027a4ff4,0
264,0287b450,0
265,0287b450,0
288,02a7f72f,0
289,02a7f72f,0
312,02c460be,0
313,02c460be,0
336,031fd0f5,0
337,031fd0f5,0
360,03419529,0
361,03419529,0
384,036d94c9,0
385,036d94c9,0
408,03bf29fa,0
409,03bf29fa,0
432,03e506af,0
433,03e506af,0
456,03f9e229,0
457,03f9e229,0
480,043d8d0c,0
481,043d8d0c,0
504,04a6a767,0
505,04a6a767,0
528,04b380c7,0
529,04b380c7,0
552,04d55e6a,0
553,04d55e6a,0
576,04dbc732,0
577,04dbc732,0
600,04debe47,0
601,04debe47,0
624,056224a2,0
625,056224a2,0
648,05e52522,0
649,05e52522,0
672,06212e56,0
673,06212e56,0
696,0636b264,0
697,0636b264,0
720,0651d43e,0
721,0651d43e,0
744,0658093b,0
745,0658093b,0
768,06e891e5,0
769,06e891e5,0
792,07a084ca,0
793,07a084ca,0
816,07e3ec27,0
817,07e3ec27,0
840,08084efe,0
841,08084efe,0
864,0823f904,0
865,0823f904,0
888,083f0dfb,0
889,083f0dfb,0
912,08c83160,0
913,08c83160,0
936,08ecfd3c,0
937,08ecfd3c,0
960,092ce360,0
961,092ce360,0
984,0950a3da,0
985,0950a3da,0
1008,0964800b,0
1009,0964800b,0
1032,0980ecf3,0
1033,0980ecf3,0
1056,09914ef8,0
1057,09914ef8,0
1080,0a04e5c1,0
1081,0a04e5c1,0
1104,0a073fe4,0
1105,0a073fe4,0
1128,0aa21699,0
1129,0aa21699,0
1152,0ad475a1,0
1153,0ad475a1,0
1176,0b255824,0
1177,0b255824,0
1200,0b8d5875,0
1201,0b8d5875,0
1224,0baa5577,0
1225,0baa5577,0
1248,0bf069c3,0
1249,0bf069c3,0
1272,0c19b4a5,0
1273,0c19b4a5,0
1296,0c4a3582,0
1297,0c4a3582,0
1320,0ca16dfd,0
1321,0ca16dfd,0
1344,0ca69c96,0
1345,0ca69c96,0
1368,0d0be2c8,0
1369,0d0be2c8,0
1392,0d226508,0
1393,0d226508,0
1416,0d29f58c,0
1417,0d29f58c,0
1440,0d2b5776,0
1441,0d2b5776,0
1464,0d710330,0
1465,0d710330,0
1488,0d820bc7,0
1489,0d820bc7,0
1512,0d90aa12,0
1513,0d90aa12,0
1536,0ddd95d2,0
1537,0ddd95d2,0
1560,0e081ce3,0
1561,0e081ce3,0
1584,0e6cd7a8,0
1585,0e6cd7a8,0
1608,0efa5c94,0
1609,0efa5c94,0
1632,0f5d3266,0
1633,0f5d3266,0
1656,0f705e95,0
1657,0f705e95,0
1680,0fcf82e4,0
1681,0fcf82e4,0
1704,0fd2954e,0
1705,0fd2954e,0
1728,10148836,0
1729,10148836,0
1752,10429d71,0
1753,10429d71,0
1776,10519639,0
1777,10519639,0
1800,109117ef,0
1801,109117ef,0
1824,109560c3,0
1825,109560c3,0
1848,10bca2b9,0
1849,10bca2b9,0
1872,115ff5d8,0
1873,115ff5d8,0
1896,11684502,0
1897,11684502,0
1920,116e9d64,0
1921,116e9d64,0
1944,11c945aa,0
1945,11c945aa,0
1968,121f6463,0
1969,121f6463,0
1992,122ef21e,0
1993,122ef21e,0
2016,123067b1,0
2017,123067b1,0
2040,1291713b,0
2041,1291713b,0
2064,13263137,0
2065,13263137,0
2088,13a24a0e,0
2089,13a24a0e,0
2112,1417b0a6,0
2113,1417b0a6,0
2136,146c7d5c,0
2137,146c7d5c,0
2160,147c9028,0
2161,147c9028,0
2184,14888ef2,0
2185,14888ef2,0
2208,149f144d,0
2209,149f144d,0
2232,14ba8aab,0
2233,14ba8aab,0
2256,14cf1ec4,0
2257,14cf1ec4,0
2280,14d3b92b,0
2281,14d3b92b,0
2304,14db0101,0
2305,14db0101,0
2328,150299cf,0
2329,150299cf,0
2352,151cf430,0
2353,151cf430,0
2376,1567ab76,0
2377,1567ab76,0
2400,15f686c8,0
2401,15f686c8,0
2424,162bdc23,0
2425,162bdc23,0
2448,168d2687,0
2449,168d2687,0
2472,1693843f,0
2473,1693843f,0
2496,1693bbe7,0
2497,1693bbe7,0
2520,16b80308,0
2521,16b80308,0
2544,17912870,0
2545,17912870,0
2568,180eef35,0
2569,180eef35,0
2592,1820f58c,0
2593,1820f58c,0
2616,18595b6b,0
2617,18595b6b,0
2640,188772ab,0
2641,188772ab,0
2664,190974c2,0
2665,190974c2,0
2688,19ae04fe,0
2689,19ae04fe,0
2712,19bdd036,0
2713,19bdd036,0
2736,19ccf803,0
2737,19ccf803,0
2760,19e5e877,0
2761,19e5e877,0
2784,19ea29be,0
2785,19ea29be,0
2808,1a00c008,0
2809,1a00c008,0
2832,1a8b952f,0
2833,1a8b952f,0
2856,1b9a4249,0
2857,1b9a4249,0
2880,1bed1748,0
2881,1bed1748,0
2904,1c9623a5,0
2905,1c9623a5,0
2928,1cd6323f,0
2929,1cd6323f,0
2952,1d0dea6d,0
2953,1d0dea6d,0
2976,1d14bdf1,0
2977,1d14bdf1,0
3000,1d4a14a9,0
3001,1d4a14a9,0
3024,1d67d611,0
3025,1d67d611,0
3048,1d98f768,0
3049,1d98f768,0
3072,1d9b9f68,0
3073,1d9b9f68,0
3096,1dc400fb,0
3097,1dc400fb,0
3120,1df6d645,0
3121,1df6d645,0
3144,1e9c4780,0
3145,1e9c4780,0
3168,1f01c926,0
3169,1f01c926,0
3192,1f133781,0
3193,1f133781,0
3216,1f5dedeb,0
3217,1f5dedeb,0
3240,1f9eb218,0
3241,1f9eb218,0
3264,202f0b2d,0
3265,202f0b2d,0
3288,20521c9e,0
3289,20521c9e,0
3312,20df6245,0
3313,20df6245,0
3336,210fba90,0
3337,210fba90,0
3360,214f24fa,0
3361,214f24fa,0
3384,218e148e,0
3385,218e148e,0
3408,21cfd61f,0
3409,21cfd61f,0
3432,2257154d,0
3433,2257154d,0
3456,225d3efe,0
3457,225d3efe,0
3480,225f0445,0
3481,225f0445,0
3504,22624011,0
3505,22624011,0
3528,231022fc,0
3529,231022fc,0
3552,23159416,0
3553,23159416,0
3576,2345e099,0
3577,2345e099,0
3600,23522c63,0
3601,23522c63,0
3624,239e325b,0
3625,239e325b,0
3648,23e1f93f,0
3649,23e1f93f,0
3672,24177c3f,0
3673,24177c3f,0
3696,24478cc7,0
3697,24478cc7,0
3720,24a4769c,0
3721,24a4769c,0
3744,24eb6b8c,0
3745,24eb6b8c,0
3768,24f6e665,0
3769,24f6e665,0
3792,25420997,0
3793,25420997,0
