,chipid,month
5359,59b37278,7
5035,54964462,7
607,0b8d5875,7
4051,4618c2da,7
4867,51e245a8,7
4207,4803a402,7
1195,1567ab76,7
3199,39692edf,7
91,023f5e10,7
2479,2c4cd182,7
4543,4cb57ce4,7
2743,316b775d,7
847,0fcf82e4,7
4291,48c13286,7
5671,60805364,7
4135,470864c8,7
2287,2a00a2fd,7
4747,4f99566d,7
3439,3df541d5,7
1147,14d3b92b,7
5719,617b7fa2,7
2503,2d715f00,7
4975,537f2249,7
2983,35e67e33,7
4075,468f17b8,7
6031,67c23b64,7
4531,4c68eadb,7
4135,470864c8,7
4231,482fbb62,7
4879,5209306d,7
3007,369b577d,7
5371,5a00c0c2,7
5899,65e3f853,7
475,08ecfd3c,7
5251,57ae707d,7
2539,2ea02c81,7
1927,2578965b,7
2443,2c0df8ed,7
1435,1b9a4249,7
4399,4a89a571,7
679,0ca69c96,7
427,08084efe,7
4303,48dcaf51,7
5779,62ec80c0,7
2875,33c704f0,7
487,092ce360,7
2023,26ea6cd0,7
2431,2beb2a9d,7
4111,46ca4055,7
5107,55a14920,7
3967,441d0238,7
151,02a7f72f,7
3943,436c7c16,7
5887,64f70d75,7
1183,151cf430,7
5443,5acc7439,7
3439,3df541d5,7
1831,23e1f93f,7
3211,396d2d93,7
4231,482fbb62,7
4651,4efe5ed2,7
5731,61dc34a5,7
3799,4209a502,7
655,0c4a3582,7
4171,479938e1,7
5311,58fd9072,7
4099,46c47554,7
3235,3a38b65d,7
3115,37a66587,7
619,0baa5577,7
3271,3abcf82c,7
3043,36dc0542,7
2491,2d5826ca,7
643,0c19b4a5,7
2275,29f826ca,7
5443,5acc7439,7
3499,3eb6d001,7
2455,2c1d11dd,7
2503,2d715f00,7
427,08084efe,7
4003,44d3d930,7
2707,314025df,7
5719,617b7fa2,7
199,036d94c9,7
811,0efa5c94,7
5587,5ef62f01,7
619,0baa5577,7
631,0bf069c3,7
4423,4afe30d7,7
3775,41c29144,7
3223,3a019b49,7
823,0f5d3266,7
5791,6380be28,7
355,0636b264,7
5611,5f7e84f0,7
739,0d710330,7
3667,40b50fd1,7
1087,147c9028,7
1231,168d2687,7
2083,2844f6c1,7
