,chipid,month
5361,59b37278,9
5037,54964462,9
609,0b8d5875,9
4053,4618c2da,9
4869,51e245a8,9
4209,4803a402,9
1197,1567ab76,9
3201,39692edf,9
93,023f5e10,9
2481,2c4cd182,9
4545,4cb57ce4,9
2745,316b775d,9
849,0fcf82e4,9
4293,48c13286,9
5673,60805364,9
4137,470864c8,9
2289,2a00a2fd,9
4749,4f99566d,9
3441,3df541d5,9
1149,14d3b92b,9
5721,617b7fa2,9
2505,2d715f00,9
4977,537f2249,9
2985,35e67e33,9
4077,468f17b8,9
6033,67c23b64,9
4533,4c68eadb,9
4137,470864c8,9
4233,482fbb62,9
4881,5209306d,9
3009,369b577d,9
5373,5a00c0c2,9
5901,65e3f853,9
477,08ecfd3c,9
5253,57ae707d,9
2541,2ea02c81,9
1929,2578965b,9
2445,2c0df8ed,9
1437,1b9a4249,9
4401,4a89a571,9
681,0ca69c96,9
429,08084efe,9
4305,48dcaf51,9
5781,62ec80c0,9
2877,33c704f0,9
489,092ce360,9
2025,26ea6cd0,9
2433,2beb2a9d,9
4113,46ca4055,9
5109,55a14920,9
3969,441d0238,9
153,02a7f72f,9
3945,436c7c16,9
5889,64f70d75,9
1185,151cf430,9
5445,5acc7439,9
3441,3df541d5,9
1833,23e1f93f,9
3213,396d2d93,9
4233,482fbb62,9
4653,4efe5ed2,9
5733,61dc34a5,9
3801,4209a502,9
657,0c4a3582,9
4173,479938e1,9
5313,58fd9072,9
4101,46c47554,9
3237,3a38b65d,9
3117,37a66587,9
621,0baa5577,9
3273,3abcf82c,9
3045,36dc0542,9
2493,2d5826ca,9
645,0c19b4a5,9
2277,29f826ca,9
5445,5acc7439,9
3501,3eb6d001,9
2457,2c1d11dd,9
2505,2d715f00,9
429,08084efe,9
4005,44d3d930,9
2709,314025df,9
5721,617b7fa2,9
201,036d94c9,9
813,0efa5c94,9
5589,5ef62f01,9
621,0baa5577,9
633,0bf069c3,9
4425,4afe30d7,9
3777,41c29144,9
3225,3a019b49,9
825,0f5d3266,9
5793,6380be28,9
357,0636b264,9
5613,5f7e84f0,9
741,0d710330,9
3669,40b50fd1,9
1089,147c9028,9
1233,168d2687,9
2085,2844f6c1,9
